Wall time,Step,Value
1747423626.1730146,100,0.09099796414375305
1747424343.7321787,200,0.13997358083724976
1747425083.753237,300,0.02655581757426262
1747425821.2936692,400,0.17790409922599792
1747426584.9537096,500,0.0986277312040329
1747427347.621119,600,0.15435779094696045
1747428107.2864163,700,0.19763769209384918
1747428869.2611675,800,0.04852796345949173
1747429632.4247916,900,0.05560685694217682
1747430391.9368978,1000,0.08757223188877106
1747431154.149087,1100,0.16728051006793976
1747431916.81793,1200,0.002047751098871231
1747432678.6304343,1300,0.3034926652908325
1747433440.1633782,1400,0.05386729538440704
1747434201.5975983,1500,0.0787491500377655
1747434963.6064253,1600,0.0038253962993621826
1747435725.1594815,1700,0.31787362694740295
1747436486.7815373,1800,0.17318320274353027
1747437248.4615078,1900,0.25922542810440063
1747438009.5984044,2000,0.0045631155371665955
1747438773.0075865,2100,0.20995351672172546
1747439534.022304,2200,0.3870314955711365
1747440295.4816809,2300,0.0020539492834359407
1747441057.0104861,2400,0.3218939006328583
1747441816.8434258,2500,0.04948371648788452
1747442577.7996204,2600,0.08694559335708618
1747443339.6781988,2700,0.12976393103599548
1747444100.1738238,2800,0.33428245782852173
1747444861.3785028,2900,0.11140415817499161
1747445620.3829076,3000,0.6914950609207153
1747446385.911958,3100,0.14355430006980896
1747447146.4115396,3200,0.027060439810156822
1747447908.6666772,3300,0.03148768097162247
1747448668.8242912,3400,0.011957289651036263
1747449430.3014023,3500,0.02243022620677948
1747450192.1420753,3600,0.601601243019104
1747450952.786792,3700,0.057506099343299866
1747451714.5301738,3800,0.4426182806491852
1747452477.069345,3900,0.07199841737747192
1747453239.0375965,4000,0.0025551673024892807
1747454001.408077,4100,0.07595318555831909
1747454764.0834644,4200,0.09823691844940186
1747455526.9591603,4300,0.1673049032688141
1747456288.3474138,4400,0.3017258048057556
1747457048.8052645,4500,0.24598316848278046
1747457809.7841003,4600,0.09940525889396667
1747458572.0644665,4700,0.47917288541793823
1747459333.7493086,4800,0.014460662379860878
1747460095.5226731,4900,0.08435732126235962
1747460855.947122,5000,0.007020541466772556
1747461620.8885837,5100,0.29113584756851196
1747462382.4407532,5200,0.06155482679605484
1747463146.8864534,5300,0.043034687638282776
1747463908.1277761,5400,0.2554866671562195
1747464668.8266437,5500,0.004566540010273457
1747465431.8998046,5600,0.013576717115938663
1747466192.9615405,5700,0.02634749375283718
1747466954.0056686,5800,0.1935395896434784
1747467716.4231868,5900,0.06795690953731537
1747468479.594742,6000,0.2539061903953552
1747469244.8956466,6100,0.22431057691574097
1747470006.3471437,6200,0.01987217366695404
1747470767.3207448,6300,0.04837752878665924
1747471530.3611782,6400,0.004861711990088224
1747472291.9777205,6500,0.004450688138604164
1747473052.9566746,6600,0.0723765641450882
1747473814.0748162,6700,0.07941997796297073
1747474575.4236717,6800,0.218677818775177
1747475338.0612886,6900,0.38255542516708374
1747476098.6423852,7000,0.2129094898700714
1747476860.2734098,7100,0.21903321146965027
1747477622.505481,7200,0.13514333963394165
1747478382.9348118,7300,0.2705910801887512
1747479142.1148534,7400,0.19074448943138123
1747479902.6267815,7500,0.02722630649805069
1747480663.0773244,7600,0.016233693808317184
1747481424.3987763,7700,0.07347482442855835
1747482184.8251703,7800,0.4258913993835449
1747482944.5147774,7900,0.0410585030913353
1747483706.641969,8000,0.07058730721473694
1747484468.234887,8100,0.062172479927539825
1747485229.3131971,8200,0.008741052821278572
1747485990.080988,8300,0.011974222958087921
1747486750.8704188,8400,0.4056793451309204
1747487511.246371,8500,0.060161296278238297
1747488271.107582,8600,0.8468464016914368
1747489033.154279,8700,0.07894159108400345
1747489795.493041,8800,0.011421436443924904
1747490557.8513198,8900,0.21133767068386078
1747491318.4397695,9000,0.11669129133224487
1747492084.2155597,9100,0.021681109443306923
1747492846.5463164,9200,0.007289025001227856
1747493607.1893806,9300,0.2857963442802429
1747494369.3216374,9400,0.01524164155125618
1747495130.392999,9500,0.13183924555778503
1747495893.5857494,9600,0.015165043994784355
1747496653.518014,9700,0.002581323729828
1747497417.4026124,9800,0.4168272018432617
1747498180.176705,9900,0.013041537255048752
1747498941.691325,10000,0.0347985178232193
1747499705.3554013,10100,0.497272253036499
1747500464.961499,10200,0.5464400053024292
1747501226.7805278,10300,0.26314038038253784
1747501991.069715,10400,0.0035708616487681866
1747502750.8253298,10500,0.0028223758563399315
1747503511.216476,10600,0.27234867215156555
1747504273.4738398,10700,0.21199943125247955
1747505035.4285061,10800,0.0035384688526391983
1747505796.0623343,10900,0.025534428656101227
1747506557.435522,11000,0.008006008341908455
1747507322.0641491,11100,0.0027782204560935497
1747508082.7461407,11200,0.03982171416282654
1747508842.834457,11300,0.08650782704353333
1747509606.5066767,11400,0.006751977372914553
1747510369.0753744,11500,0.027974223718047142
1747511128.9237587,11600,0.3081744313240051
1747511889.049102,11700,0.33272087574005127
1747512651.0450795,11800,0.021486354991793633
1747513413.0659227,11900,0.04959119111299515
1747514173.783061,12000,0.6440985798835754
1747514938.3913434,12100,0.18718180060386658
1747515700.4352627,12200,0.16722513735294342
1747516459.910511,12300,0.059229932725429535
1747517221.8333707,12400,0.049591854214668274
1747517982.558818,12500,0.18073618412017822
1747518742.3958898,12600,0.027231168001890182
1747519504.3232706,12700,0.28575897216796875
1747520266.739353,12800,0.17420408129692078
1747521027.7263892,12900,0.012190906330943108
1747521788.697595,13000,0.005145100876688957
1747522553.2895167,13100,0.2586493194103241
1747523315.0729468,13200,0.050752926617860794
1747524076.185767,13300,0.13920728862285614
1747524836.8806667,13400,0.4126778244972229
